date,10yr_yield,est_mortgage_rate
2020-01-02,1.882,3.112
2020-01-03,1.788,3.018
2020-01-06,1.811,3.041
2020-01-07,1.827,3.057
2020-01-08,1.874,3.104
2020-01-09,1.858,3.088
2020-01-10,1.825,3.055
2020-01-13,1.848,3.078
2020-01-14,1.818,3.048
2020-01-15,1.788,3.018
2020-01-16,1.809,3.039
2020-01-17,1.836,3.066
2020-01-21,1.769,2.999
2020-01-22,1.769,2.999
2020-01-23,1.74,2.97
2020-01-24,1.681,2.911
2020-01-27,1.605,2.835
2020-01-28,1.641,2.871
2020-01-29,1.594,2.824
2020-01-30,1.558,2.788
2020-01-31,1.52,2.75
2020-02-03,1.52,2.75
2020-02-04,1.603,2.833
2020-02-05,1.649,2.879
2020-02-06,1.644,2.874
2020-02-07,1.578,2.808
2020-02-10,1.547,2.777
2020-02-11,1.59,2.82
2020-02-12,1.63,2.86
2020-02-13,1.617,2.847
2020-02-14,1.588,2.818
2020-02-18,1.556,2.786
2020-02-19,1.57,2.8
2020-02-20,1.525,2.755
2020-02-21,1.471,2.701
2020-02-24,1.377,2.607
2020-02-25,1.33,2.56
2020-02-26,1.31,2.54
2020-02-27,1.299,2.529
2020-02-28,1.127,2.357
2020-03-02,1.088,2.318
2020-03-03,1.01,2.24
2020-03-04,0.992,2.222
2020-03-05,0.926,2.156
2020-03-06,0.706,1.936
2020-03-09,0.499,1.729
2020-03-10,0.748,1.978
2020-03-11,0.82,2.05
2020-03-12,0.849,2.079
2020-03-13,0.951,2.181
2020-03-16,0.728,1.958
2020-03-17,0.997,2.227
2020-03-18,1.266,2.496
2020-03-19,1.119,2.349
2020-03-20,0.938,2.168
2020-03-23,0.764,1.994
2020-03-24,0.816,2.046
2020-03-25,0.858,2.088
2020-03-26,0.811,2.041
2020-03-27,0.749,1.979
2020-03-30,0.67,1.9
2020-03-31,0.698,1.928
2020-04-01,0.635,1.865
2020-04-02,0.627,1.857
2020-04-03,0.587,1.817
2020-04-06,0.676,1.906
2020-04-07,0.736,1.966
2020-04-08,0.764,1.994
2020-04-09,0.729,1.959
2020-04-13,0.749,1.979
2020-04-14,0.752,1.982
2020-04-15,0.638,1.868
2020-04-16,0.609,1.839
2020-04-17,0.654,1.884
2020-04-20,0.626,1.856
2020-04-21,0.571,1.801
2020-04-22,0.619,1.849
2020-04-23,0.613,1.843
2020-04-24,0.596,1.826
2020-04-27,0.656,1.886
2020-04-28,0.61,1.84
